Composer First Name,Composer Last Name,Arranger,Title,Grade,Instrumentation,Performance History,Notes,Collection,Theme,
,,,Palladio,2,,Fall 2021 (Adv.); ,"Love this piece! Tried to perform it in 2020 and Spring 2021, so should not use for awhile",,,
,,,Peer Gynt,4,"Percussion: Bass Drum, Snare Drum, Cr. Cym, TImpani, Triangle, Tambourine",,,,,
,,,Peter Gunn,1.5,,,,First Year Pops Book,,
,,,"Power Rock (We will rock you, another one bites the dust)",0.5,Percussion,Spring 2017 (4/5),,,,
,,,Proud Mary,1.5,,,,First Year Pops Book,,
,,,Raider's March,2,,Fall 2019 (MS Adv.),,EE Purple Book,,
,,,"Rest Ye Merry, Rock Ye Very",2,,,,,Winter,
Katy,Perry,Caroline McCaskey,Roar,1,,Fall 2022 (MS Int.),,,,
,,,Rockin' Around the Christmas Tree,1,,,,EE Green Book,Winter,
,,,Round Dance,0.5,2 parts,,,EE Red Book,,
,,,"Rudolph, the Red-nosed Reindeer",1.5,,,,First Year Pops Book,Winter,
,,,Science Blaster,1.5,,,,,,
,,,Scotland the Brave,3,,,,Celtic Book,,
,,,Seven Nation Army,2,,Spring 2020 and 2021 (MS Adv),,,,
,,,Sheep May Safely Graze,3,,,,,,
,,,Shut Up and Dance,1.5,,Fall 2020 (Adv.),,,,
,,,Silver Bells,1,,,,EE Green Book,Winter,
,,,Simple Warm Up Tune,2,,,,,,
,,,Somewhere Out There,2,,,,EE Purple Book,,
,,,Sporting Paddy,3,,,,Celtic Book,,
,,,Star Trek The Motion Picture,2,,,,EE Purple Book,,
,,,Strings on the Housetop,1,"Percussion (optional): sleigh bells, temple bells, slapstick; piano acc.",Fall 2019 (Int.),Super arrangement!,,Winter,
,,,Sword Dance,1,,Fall 2016 and 2019 (4/5),,,,
,,,Tango Eight,4,,,,,,
,,,Test Drive (from How to Train Your Dragon),2,Awful key change: D to E (students enjoyed piece though),Fall 2020,,,,
,,,The Blarney Pilgrim-The Kesh Jig,3,,,,Celtic Book,,
,,,The Entertainer,2,,,,,,
,,,The Hanukkah Song,1,,,,EE Green Book,Winter,
,,,The Incredibles,2,"Percussion (needed): Drumset, sus. Cym, Bongos, Triangle",,,,,
,,,The John Dunbar Theme,1.5,,,,EE Purple Book,,
,,,The Jolly Boatman,0.5,2 parts,,,EE Red Book,,
,,,The Laird o' Drumblair,3,,,,Celtic Book,,
,,,The Little Drummer Boy,1,,,,First Year Pops Book,Winter,
,,,The Man From Snowy River,1.5,,,,EE Purple Book,,
,,,The Mist Covered Mountain,3,,Fall 2019 (US),,Celtic Book,,
,,,The Orchestra Song,0.5,5 parts,,,EE Red Book,,
,,,The Pink Panther,2,,,,First Year Pops Book,Winter,
,,,The Rocky Road to Dublin,3,,,,Celtic Book,,
,,,The Syncopated Clock,1.5,,,,First Year Pops Book,,
,,,Theme From E. T.,2,,,,EE Purple Book,,
,,,Theme From Ice Castles,1.5,,,,First Year Pops Book,,
,,,Theme From Jurassic Park,1.5,,,,EE Purple Book,,
,,,"Theme from New York, New York",1.5,,,,First Year Pops Book,,
,,,This Is It! (Theme from the Bugs Bunny Show),1.5,,,,First Year Pops Book,,
,,,This Old Man,0.5,2 parts,,,EE Red Book,,
,,,Toe Tapping,0.5,2 parts,,,EE Red Book,,
,,,Up on the Housetop,0.5,,,,EE Green Book,Winter,
,,,Up on the Housetop,0.5,2 parts,Fall 2020 (5th),,EE Red Book,Winter,
,,,Valse d'Amelie,2.5,DUET: Vla/cello,Spring 2020 (US),,,,
,,,We Wish You A Merry Christmas,1,,,,EE Green Book,Winter,
,,,Western Dawn,1.5,,"Fall 2016, 2019 (Adv.)",,,,
,,,What a Wonderful World,3,,,,,,
,,,White Christmas,1,,,,EE Green Book,Winter,
,,,Will Ye No Come Back Again,2,,Fall 2020 (US),,Celtic Book,,
,,,Eleanor Rigby,2.5,string quartet,Fall 2021 (US),,,,
,,,Jingle Bell Rock,0.5,,Fall 2021 (4/5),,arranged from EE Green Book,Winter,
,,,Happy Together,2.5,String quartet,Fall 2021 (US),Great arrangement (Kathryn Griesinger),,,
,,,Debussy Album,4,String quartet,Fall 2021 (US),Performed Clair de Lune only,,,
,,,Jupiter,1.5,,Fall 2021 (Int.),Viola was re-written to have melody,,,
,,,Happy Together,3,String orchestra,,Arrangement was challenging to put together (Alan Gordon),,,
,,,Never Gonna Give You Up,2,,Fall 2021 (US),"LOVED this piece!!! Starts off in Canon in D, then ""rick rolls"" to Never Gonna give you up",,,
,,,Radioactive (Imagine Dragons),3,string quartet,Fall 2020 (US),Great piece!  Arrangment was challenging to put together and had a few extended techniques.,,,
,,,House of Cards (BTS),3,string quartet,Fall 2021 (US),Follows recording by BTS exactly (same key),,,
,,,Three Easy Rounds for Violin,1,,Fall 2021 (Int.),Performed I puzzle I wonder,,,
,,,Spinning Song,2.5,String orchestra,Spring 2022 (MS and US combined groups),,,,
,,,Gaelic Castle,1,String Orchestra ,Spring 2022 (MS intermediate ),,,,
,,,Adagio Original,5,String Quartet with doubled parts,Spring 2022 (US),,,,
,,,Love Again,3,String quartet,Spring 2022 (US),,,,
,,,Happy Together,3,String Quartet ,"Fall 2021, Spring 2022 (US)",,,,
,,,Adagio for Strings easy,2.5,String orchestra,,,,,
,,,Theme from the Mandalorian,3,String quartet,Spring 2022 (US),,,,
,,,We Don't Talk About Bruno,3,String quartet,Spring 2022 (MS Advanced),,,,
Doug,Spata,,Breakbeat,1,String Orchestra,Spring 2023 (LS),"No arco, all pizz and stomp/clap",,,
Ramnin,Djawadi,,Game of Thrones,3,String Orchestra,Spring 2023 (MS Advanced),3rd position is optional,,,
Jay,Ungar,,Ashokan Farewell,3,String Orchestra,Spring 2023 (MS Advanced),Solo violin,,,
Ludwig van,Beethoven,,Pastoral Symphony,2,String Orchestra,Spring 2023 (MS Advanced),,,,
,Hisaishi,,Merry Go Round of Life (Howl's Moving Castle Theme),4,String Quartet,Spring 2023 (MS Advanced),from MuseScore,,,
Simon,Jeffes,,Music for a Found Harmonium,3,String Quartet,Spring 2023 (US),from MuseScore,,,
Loretta,Fin,,La Vita Bella,3,String Orchestra,Fall 2022 (US),Great concert piece,,,
Olivia,Rodrigo,,Good 4 U,3,String Orchestra,,,,,
Ludwig van,Beethoven,,Finale from Symphony No. 5,4,String Orchestra,Spring 2023 (US),,,,
Ludwig van,Beethoven,,Adagio Cantabile,3,String Orchestra,Spring 2023 (US),,,,
Sebastian,Reuten,,Weaved Theme,3,String Quartet,Fall 2022 (US - didn't perform),from MuseScore,,,
Katy,Perry,Nat Brookes,Teenage Dream,4,String Quartet,Fall 2022 (US - didn't perform),Nice arrangement but challenging,,,
Antonio,Vivaldi,Todd Parrish,Inverno,3,String Orchestra,Fall 2022 (US),Great arrangement,,,
Tayla,Parx,Doug Adams,High Hopes,2,String Orchestra,Fall 2022 (MS Advanced),Fun,,,
Doug,Spata,,Elementals,3,String Orchestra,Fall 2022 (US),,,,
Nikolai,Rimsky-Korsakov,Sandra Dackow,Dance of the Tumblers (from The Snow Maiden,2,String Orchestra,Fall 2022 (MS Advanced),The best!,,,
Johann,Pachelbel,Simon Fink,Canon in D,1,String Orchestra,Fall 2022 (MS Int),basic,,,
J.S.,Bach,,"Brandenburg Concerto No. 5, Mvmt. 1",2,String Quartet,Fall 2022 (US),,,,
Wolfgang Amadeus,Mozart,CM,Ave Verum Corpus,2,String Quartet,Fall 2022 (US),,,,
Walter,Cummings,,Autumn Mists,3,String Orchestra,Fall 2022 (US),SF: Don't like it.,,,
